EntrezA	EntrezB
7415	84447
7415	29979
7415	4163
7415	80700
7415	258010
7415	8266
7415	84464
7415	55165
7415	7917
7415	3064
7415	55072
7415	10273
7415	846
7415	6446
7415	55829
7415	80124
7415	6195
7415	1400
7415	5265
7415	1211
7415	10206
7415	283518
7415	6314
7415	26013
7415	54431
7415	10953
7415	3123
7415	3106
7415	23542
7415	10075
7415	7411
7415	3691
7415	23524
7415	22888
7415	9328
7415	26191
7415	10576
7415	387082
7415	8412
7415	79058
7415	91544
7415	23235
7415	7412
7415	8975
7415	7993
7415	23190
7415	49856
7415	170954
7415	8100
7415	5165
7415	5562
7415	915
7415	25897
7415	5495
7415	3417
7415	9636
7415	7314
7415	6010
7415	3638
7415	1994
7415	137886
7415	338
7415	26043
7415	821
7415	10397
7415	9230
7415	9709
7415	7030
7415	6203
7415	165324
7415	26270
7415	127733
7415	23352
7415	51465
7415	3156
7415	83932
7415	51009
7415	79609
7415	4763
7415	81624
7415	51141
7415	1832
7415	51322
7415	203068
7415	130617
7415	10381
7415	554
7415	9873
7415	3003
7415	114049
7415	25949
7415	7844
7415	6319
7415	10383
7415	171558
7415	7353
7415	88455
7415	55139
7415	4189
7415	9768
7415	54982
7415	162494
7415	84923
7415	84236
7415	9024
7415	84649
7415	197320
3837	10856
3837	4609
3837	3843
3837	2060
3837	1017
3837	5395
3837	7329
3837	2260
3837	1956
3837	4851
3837	4692
3837	6882
3837	5901
3837	2064
3837	7157
3837	5515
3837	7189
3837	8480
3837	5902
3837	10204
3837	7534
3837	81620
3837	7341
3837	23633
3837	5905
3837	1785
3837	3717
3837	3836
3837	6606
3837	6607
3837	51701
3837	2107
3837	10762
3837	10014
3837	5903
3837	1080
3837	10482
3837	10527
3837	8452
3837	10987
3837	1213
3837	920
3837	3840
3837	988
3837	8607
3837	4088
3837	8717
3837	5885
3837	6881
3837	22938
3837	81929
3837	57122
3837	5971
3837	409
3837	4292
3837	51588
3837	23557
3837	4089
3837	8411
3837	10933
3837	55832
3837	4087
3837	267
3837	11200
3837	55257
3837	79139
3837	7531
3837	326
3837	7013
3837	862
3837	8204
3837	9862
3837	3611
3837	55165
3837	29843
3837	2335
3837	3839
3837	6721
3837	4773
3837	4927
3837	55829
3837	9972
3837	3621
3837	10073
3837	23636
3837	7175
3837	5764
3837	3838
3837	7133
3837	7014
3837	25909
3837	22974
3837	728642
3837	1198
3837	10526
3837	4928
3837	2733
3837	8493
3837	23111
3837	3006
3837	5744
3837	5333
3837	1130
3837	8812
3837	7412
3837	348995
3837	79023
3837	56257
3837	57680
3837	57187
3837	55746
3837	7846
3837	167691
3837	1994
3837	1107
3837	23279
3837	9787
3837	2869
3837	9643
3837	22909
3837	79902
3837	50717
3837	51203
3837	129401
3837	84458
3837	1104
3837	29956
3837	23165
3837	6875
3837	7737
3837	84725
3837	53371
3837	8021
3837	10914
3837	23225
3837	23184
3837	4267
3837	10411
3837	55125
3837	118881
3837	224
3837	55720
3837	9853
3837	4255
3837	6160
3837	54867
3837	79882
3837	3431
3837	9688
3837	11001
3837	11097
3837	100101267
3837	8086
3837	3032
3837	9768
3837	157313
3837	29796
3837	23511
3837	55627
3837	55706
3837	727851
3837	26020
3837	3833
3837	25962
3837	84928
3837	89777
3837	23306
2138	4609
2138	55294
2138	2932
2138	1602
2138	3014
2138	2771
2138	10736
2138	6495
2138	2781
2138	51804
8454	1499
8454	8900
8454	4609
8454	11338
8454	55968
8454	3191
8454	55294
8454	5499
8454	1677
8454	5708
8454	9978
8454	2873
8454	10980
8454	1017
8454	890
8454	595
8454	3320
8454	1793
8454	1737
8454	5687
8454	51386
8454	5683
8454	6390
8454	1027
8454	6181
8454	1869
8454	3313
8454	7189
8454	8480
8454	7534
8454	6502
8454	3312
8454	81620
8454	1025
8454	4738
8454	9040
8454	8878
8454	8065
8454	7167
8454	3609
8454	4793
8454	29110
8454	3551
8454	708
8454	8517
8454	11186
8454	1147
8454	26986
8454	6135
8454	3836
8454	54165
8454	6500
8454	997
8454	51701
8454	6632
8454	5903
8454	55336
8454	26268
8454	8452
8454	10987
8454	8533
8454	51138
8454	10920
8454	23450
8454	1019
8454	6633
8454	4792
8454	3303
8454	3304
8454	1213
8454	1973
8454	10001
8454	253260
8454	4193
8454	5071
8454	988
8454	23197
8454	80204
8454	775
8454	1018
8454	3326
8454	3190
8454	7067
8454	4088
8454	5743
8454	694
8454	4794
8454	5685
8454	6709
8454	11124
8454	22938
8454	51035
8454	28996
8454	10016
8454	9616
8454	6637
8454	2597
8454	1917
8454	5478
8454	23291
8454	3178
8454	11091
8454	4904
8454	3309
8454	3800
8454	6634
8454	1937
8454	3692
8454	54606
8454	498
8454	1191
8454	6208
8454	2997
8454	3308
8454	5692
8454	84678
8454	5688
8454	4869
8454	3921
8454	23521
8454	11224
8454	64326
8454	8295
8454	1111
8454	26354
8454	7431
8454	10155
8454	5880
8454	55832
8454	3661
8454	7979
8454	1843
8454	9817
8454	6727
8454	1653
8454	1642
8454	6780
8454	8945
8454	25827
8454	26224
8454	26232
8454	25793
8454	83461
8454	26272
8454	26190
8454	26259
8454	115290
8454	93611
8454	1660
8454	11335
8454	1789
8454	25820
8454	23367
8454	27161
8454	50813
8454	993
8454	7531
8454	1655
8454	5934
8454	3028
8454	1163
8454	3183
8454	5378
8454	4691
8454	3791
8454	3516
8454	7161
8454	150684
8454	1936
8454	3964
8454	6653
8454	3959
8454	8471
8454	4163
8454	9577
8454	3611
8454	23112
8454	3184
8454	9682
8454	23451
8454	801
8454	805
8454	808
8454	5371
8454	51438
8454	6426
8454	7307
8454	760
8454	1028
8454	26993
8454	9232
8454	26517
8454	8655
8454	6125
8454	11060
8454	26234
8454	84893
8454	9318
8454	6147
8454	3181
8454	23517
8454	1407
8454	6626
8454	9349
8454	1615
8454	54431
8454	3838
8454	8570
8454	79866
8454	54556
8454	8237
8454	57695
8454	7321
8454	79176
8454	10189
8454	3735
8454	3192
8454	4839
8454	10121
8454	28952
8454	191
8454	7295
8454	9255
8454	5859
8454	11146
8454	3654
8454	29127
8454	3301
8454	9045
8454	26135
8454	9328
8454	27339
8454	4627
8454	4673
8454	6189
8454	6631
8454	1933
8454	7184
8454	10146
8454	548593
8454	79008
8454	4076
8454	51530
8454	254170
8454	51371
8454	1654
8454	3006
8454	7150
8454	6191
8454	6209
8454	6224
8454	6205
8454	8886
8454	219771
8454	8349
8454	3185
8454	11100
8454	2130
8454	3853
8454	3848
8454	26260
8454	6258
8454	28988
8454	79595
8454	3187
8454	6711
8454	6188
8454	1062
8454	6635
8454	6128
8454	2023
8454	899
8454	6468
8454	3757
8454	55208
8454	26263
8454	6737
8454	3608
8454	51747
8454	1152
8454	4607
8454	7277
8454	92609
8454	6628
8454	55646
8454	6233
8454	2521
8454	64798
8454	7314
8454	6741
8454	1665
8454	8030
8454	23014
8454	1641
8454	1153
8454	1994
8454	9131
8454	26043
8454	6207
8454	54850
8454	4686
8454	6182
8454	6432
8454	140890
8454	54951
8454	81628
8454	51676
8454	6434
8454	6194
8454	4670
8454	2058
8454	54461
8454	6203
8454	6201
8454	79791
8454	54455
8454	26270
8454	6138
8454	6210
8454	6228
8454	6143
8454	6187
8454	6142
8454	84790
8454	6132
8454	6217
8454	6175
8454	6124
8454	64839
8454	4736
8454	1915
8454	4676
8454	292
8454	5860
8454	9975
8454	8521
8454	3857
8454	5930
8454	10477
8454	117246
8454	55904
8454	140465
8454	54888
8454	6472
8454	6428
8454	293
8454	6232
8454	6193
8454	6222
8454	5935
8454	123879
8454	51637
8454	6133
8454	6230
8454	6146
8454	6152
8454	6155
8454	6137
8454	6223
8454	6206
8454	3189
8454	220988
8454	4643
8454	949
8454	84259
8454	6141
8454	6144
8454	6625
8454	23142
8454	6202
8454	6156
8454	2193
8454	6218
8454	2026
8454	8148
8454	112574
8454	23223
8454	6122
8454	3188
8454	6742
8454	23066
8454	1446
8454	7832
8454	3329
8454	3852
8454	203068
8454	8329
8454	8330
8454	8332
8454	8336
8454	8969
8454	6427
8454	23107
8454	56475
8454	4521
8454	114884
8454	128710
8454	23350
8454	55922
8454	8106
8454	8731
8454	123228
8454	8531
8454	6176
8454	54932
8454	55342
8454	85302
8454	6165
8454	6204
8454	8624
8454	84262
8454	25873
8454	6168
8454	55178
8454	6229
8454	6136
8454	65003
8454	55299
8454	2197
8454	4141
8454	6158
8454	51493
8454	6263
8454	6234
8454	80028
8454	84310
8454	8761
8454	1938
8454	6157
8454	79585
8454	6431
8454	283807
8454	126433
8454	51649
8454	6227
